climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
140,52.6861,11.4272,WB,261,16,189,16,248.0,272.0,174.0,200.0
183,54.6792,13.4343,WB,256,15,199,16,247.0,268.0,187.0,209.0
198,51.3745,11.292,WB,264,8,196,13,237.0,283.0,183.0,222.0
591,53.3911,10.6878,WB,260,16,191,16,252.0,270.0,183.0,200.0
596,54.0028,11.1908,WB,263,7,195,8,258.0,268.0,185.0,204.0
640,50.8685,12.7237,WB,264,14,200,14,256.0,282.0,187.0,225.0
662,52.2914,10.4465,WB,264,16,194,16,253.0,273.0,180.0,211.0
717,51.3873,8.5737,WB,260,16,205,16,251.0,271.0,193.0,216.0
821,49.1443,10.5024,WB,250,6,196,6,234.0,263.0,189.0,206.0
822,51.2066,14.2371,WB,257,9,191,9,245.0,264.0,180.0,204.0
853,50.7913,12.872,WB,260,6,205,3,253.0,267.0,196.0,214.0
880,51.776,14.3168,WB,259,16,186,16,255.0,270.0,172.0,194.0
882,50.7813,10.786,WB,262,15,207,15,258.0,274.0,196.0,218.0
891,53.8713,8.7058,WB,263,9,203,9,251.0,274.0,189.0,214.0
1048,51.128,13.7543,WB,254,5,185,3,241.0,260.0,179.0,193.0
1133,52.1014,11.2322,WB,259,16,196,16,250.0,271.0,187.0,211.0
1246,51.8418,8.0607,WB,262,11,196,11,256.0,274.0,179.0,206.0
1412,50.8969,13.2205,WB,258,16,197,16,232.0,281.0,182.0,209.0
1532,53.6865,11.0608,WB,253,16,195,16,242.0,267.0,182.0,205.0
1544,52.5129,11.3941,WB,266,4,188,5,252.0,282.0,185.0,193.0
1612,50.8813,12.1289,WB,254,14,189,16,241.0,261.0,178.0,199.0
1684,51.1622,14.9506,WB,257,6,194,8,253.0,269.0,180.0,208.0
1691,51.5003,9.9506,WB,262,7,191,8,258.0,265.0,182.0,203.0
1757,54.0967,13.4056,WB,255,14,192,16,244.0,276.0,182.0,202.0
1766,52.1344,7.6969,WB,275,9,189,9,264.0,286.0,185.0,198.0
1780,50.4316,11.9443,WB,257,16,199,16,240.0,277.0,189.0,223.0
1820,50.85,11.6667,WB,261,16,191,16,249.0,277.0,180.0,202.0
1957,51.5138,11.9499,WB,260,9,187,10,251.0,267.0,178.0,196.0
2034,50.9574,11.9757,WB,271,8,198,9,264.0,284.0,181.0,209.0
2163,51.5448,10.8748,WB,255,14,196,14,248.0,269.0,188.0,208.0
2468,50.9352,12.6206,WB,260,15,192,15,254.0,268.0,176.0,209.0
2514,54.6667,9.9333,WB,262,6,201,7,253.0,283.0,198.0,207.0
2561,49.7167,8.1167,WB,262,8,189,8,257.0,271.0,185.0,198.0
2625,52.739,12.4984,WB,262,6,192,6,257.0,265.0,182.0,201.0
2667,50.8646,7.1575,WB,265,5,183,9,260.0,279.0,176.0,194.0
2878,51.391,11.8788,WB,262,7,190,8,257.0,269.0,180.0,206.0
2895,49.3442,11.5664,WB,260,9,203,8,250.0,268.0,189.0,213.0
2928,51.3151,12.4462,WB,261,3,187,8,256.0,265.0,175.0,198.0
2995,52.8719,13.3927,WB,263,5,185,7,255.0,270.0,172.0,199.0
3015,52.2085,14.118,WB,262,12,187,16,251.0,277.0,170.0,197.0
3023,52.5181,7.3081,WB,269,15,193,16,250.0,291.0,181.0,214.0
3028,51.7855,8.8388,WB,272,9,192,9,263.0,281.0,185.0,205.0
3126,52.1029,11.5827,WB,263,16,190,16,251.0,278.0,179.0,201.0
3287,49.7176,9.0997,WB,261,6,196,6,248.0,282.0,186.0,213.0
3302,51.0418,11.0062,WB,263,14,194,13,244.0,280.0,181.0,204.0
3314,52.1458,11.9563,WB,267,14,188,16,248.0,283.0,170.0,207.0
3347,51.7384,9.7899,WB,259,7,200,8,254.0,268.0,193.0,210.0
3478,53.5468,13.1914,WB,256,4,189,4,250.0,261.0,185.0,192.0
3487,51.607,11.1183,WB,260,8,202,8,257.0,267.0,197.0,210.0
3552,52.9037,12.8072,WB,263,10,189,10,253.0,271.0,181.0,201.0
3637,51.5158,10.7739,WB,253,8,205,8,242.0,282.0,195.0,225.0
3660,50.3601,6.8697,WB,268,6,200,6,262.0,273.0,196.0,213.0
3684,51.2873,11.0183,WB,258,16,192,16,253.0,268.0,178.0,206.0
3750,48.0579,9.9479,WB,259,6,193,8,253.0,272.0,181.0,200.0
3761,49.207,9.5175,WB,268,7,193,7,259.0,277.0,186.0,199.0
3811,51.296,13.0928,WB,260,9,185,10,254.0,274.0,169.0,196.0
3815,52.2553,8.0534,WB,263,3,191,3,254.0,271.0,181.0,198.0
4271,54.1803,12.0808,WB,251,7,200,9,244.0,263.0,195.0,206.0
4372,50.8063,10.2294,WB,262,11,193,13,241.0,273.0,181.0,208.0
4466,54.5275,9.5487,WB,263,15,197,16,255.0,278.0,183.0,206.0
4625,53.6425,11.3872,WB,265,6,198,7,259.0,270.0,190.0,209.0
4642,52.8911,11.7297,WB,259,12,187,15,253.0,266.0,177.0,200.0
4768,50.6574,9.9135,WB,266,5,202,6,262.0,269.0,196.0,208.0
4887,48.6657,9.8646,WB,261,16,202,16,252.0,273.0,191.0,211.0
4933,48.7091,9.2147,WB,266,16,190,16,262.0,272.0,180.0,204.0
4983,50.8619,11.2453,WB,267,11,197,13,259.0,279.0,181.0,214.0
5100,49.7479,6.6582,WB,266,13,195,13,259.0,274.0,185.0,204.0
5142,53.7444,14.0697,WB,265,10,199,11,263.0,271.0,172.0,206.0
5397,49.6663,12.1845,WB,263,4,193,4,262.0,266.0,188.0,201.0
5404,48.4025,11.6946,WB,264,15,190,15,257.0,271.0,172.0,207.0
5516,54.5284,11.0605,WB,262,8,200,8,252.0,278.0,187.0,212.0
5546,52.1207,12.4585,WB,264,10,191,12,249.0,275.0,171.0,206.0
5750,51.0314,12.1495,WB,253,8,190,8,243.0,267.0,174.0,198.0
5856,48.5451,13.3531,WB,267,8,192,9,239.0,280.0,173.0,202.0
7504,54.3167,10.05,WB,264,10,201,8,254.0,278.0,184.0,214.0
7539,53.95,10.6833,WB,259,11,198,12,246.0,275.0,189.0,209.0
7548,53.9333,10.6667,WB,258,7,196,9,248.0,269.0,187.0,203.0
7559,54.75,9.9,WB,259,5,199,5,254.0,272.0,197.0,204.0
7564,54.7167,9.95,WB,257,15,201,16,249.0,270.0,187.0,219.0
7566,54.75,9.5167,WB,258,16,199,16,253.0,273.0,190.0,208.0
7592,53.4833,10.6333,WB,255,16,192,16,240.0,264.0,183.0,202.0
7601,53.6167,10.7,WB,258,15,194,15,254.0,266.0,184.0,210.0
7604,53.7,10.7833,WB,263,5,194,15,259.0,267.0,183.0,211.0
7605,53.75,10.6167,WB,259,3,193,3,257.0,263.0,184.0,202.0
7608,53.5,10.4833,WB,263,16,195,16,258.0,279.0,184.0,205.0
7616,54.6167,8.9667,WB,263,15,202,14,254.0,274.0,196.0,211.0
7623,54.6667,9.1333,WB,239,15,209,16,222.0,263.0,191.0,229.0
7624,54.5167,8.65,WB,250,3,202,11,245.0,256.0,179.0,219.0
7640,54.4333,11.2,WB,253,4,200,4,232.0,263.0,197.0,203.0
7641,54.5,11.1,WB,263,11,199,12,247.0,274.0,194.0,209.0
7642,54.2333,11.0833,WB,259,15,200,16,246.0,274.0,192.0,210.0
7646,54.25,10.8333,WB,257,16,196,16,228.0,278.0,187.0,208.0
7650,54.1,10.8167,WB,259,16,200,16,253.0,282.0,191.0,215.0
