climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
8780,51.7833,6.45,WW,289,3,206,,285,296,200,217
8793,51.1,7.1,WW,291,4,214,,287,295,206,218
8800,51.4167,6.9667,WW,284,6,215,,275,295,204,229
8804,51.5333,6.7,WW,284,4,217,,282,289,201,224
8810,51.5167,6.4,WW,296,16,209,,283,315,198,225
8813,51.6333,6.1833,WW,281,7,214,,266,299,207,219
8815,51.5833,6.25,WW,281,7,212,,273,297,203,217
8817,51.45,6.6333,WW,286,15,209,,272,300,198,230
8822,51.5833,6.5333,WW,289,16,209,,267,314,200,234
8824,51.65,6.6167,WW,286,16,204,,273,302,193,215
8836,50.9667,6.75,WW,289,14,211,,286,299,202,224
8841,50.7667,7.1333,WW,292,16,207,,282,302,195,219
8844,50.65,7.2,WW,283,7,210,,270,295,183,220
8845,50.6333,6.9667,WW,285,3,217,,280,289,209,231
8849,50.6667,6.8,WW,292,16,205,,284,300,196,216
8851,50.6833,6.6667,WW,285,16,206,,277,291,195,218
8852,50.6167,6.65,WW,290,14,210,,281,304,197,224
8863,50.9167,6.8167,WW,298,16,209,,275,310,195,223
8869,50.8167,6.95,WW,291,11,206,,285,300,196,215
8885,50.9167,7.5667,WW,287,5,204,,273,301,200,209
8894,51.1,7.3833,WW,283,13,224,,274,299,213,246
8914,50.7632,7.2631,WW,292,16,212,,283,300,199,225
8932,50.8167,6.2667,WW,288,16,213,,281,294,200,230
8934,50.7833,6.2,WW,291,15,217,,276,301,199,236
8940,50.8,6.4167,WW,279,12,207,,197,299,195,215
8949,51.0667,6.1833,WW,294,4,209,,287,300,207,212
8958,50.8833,6.45,WW,288,16,205,,282,296,197,218
8985,50.4833,6.6333,WW,267,8,229,,262,273,217,237
8990,50.9167,6.1167,WW,289,16,207,,283,298,197,215
8998,51.9667,7.6333,WW,285,15,214,,276,295,200,230
9001,51.9968,6.9732,WW,294,3,221,,281,303,220,222
9005,52.1167,7.1167,WW,285,7,213,,277,293,200,225
9012,51.7,7.8333,WW,277,16,213,,265,293,199,241
9015,51.8042,8.2049,WW,274,16,209,,262,286,196,223
9020,51.8833,6.6667,WW,295,14,216,,274,353,199,233
9027,51.95,7.1833,WW,273,15,217,,258,289,203,233
9028,51.9667,7.3,WW,282,14,218,,269,293,205,235
9030,51.8333,7.3,WW,292,3,214,,288,299,210,221
9035,51.7,7.75,WW,280,16,211,,270,291,200,222
9050,51.9333,7.5333,WW,278,3,219,,272,282,215,227
9052,51.9167,7.8167,WW,288,12,214,,280,301,201,231
9055,52.15,7.3333,WW,282,6,221,,274,288,211,229
9057,52.15,7.6,WW,289,3,219,,283,294,212,227
9060,52.0833,7.4833,WW,277,8,210,,261,284,195,226
9074,52.2667,7.7833,WW,280,7,212,,267,291,208,216
9076,52.3333,7.5167,WW,283,13,217,,273,291,196,238
9084,51.9667,8.2333,WW,296,3,221,,293,299,212,228
9087,51.5833,7.0667,WW,284,16,217,,275,293,207,231
9088,51.6167,7.2,WW,289,7,225,,283,295,220,231
9109,52.0833,8.5167,WW,284,16,219,,273,293,197,231
9111,51.6153,8.8972,WW,262,9,223,,254,279,215,233
9113,51.6833,8.5667,WW,293,3,213,,286,300,204,230
9121,51.9,9.1667,WW,272,11,219,,263,284,211,230
9130,52.1,8.3,WW,290,8,223,,275,300,217,242
9136,52.05,8.4333,WW,293,13,227,,270,309,216,241
9138,52.2,8.6,WW,284,10,213,,272,291,193,230
9143,52.15,8.8,WW,284,16,219,,267,306,204,230
9147,51.7167,9.1833,WW,270,3,218,,267,274,216,220
9155,51.8333,9.0667,WW,291,16,226,,279,306,216,239
9156,51.85,9.2833,WW,280,3,230,,275,286,224,236
9161,51.9833,8.6667,WW,279,16,218,,269,287,204,228
9164,52.1,8.9333,WW,278,16,223,,265,292,214,236
9169,52.4167,8.6167,WW,292,16,214,,277,306,199,232
9178,52.4333,8.6167,WW,284,5,222,,279,289,217,225
9180,52.3,8.9167,WW,279,9,217,,270,288,206,237
9187,52.25,8.7333,WW,283,16,222,,277,292,214,236
9189,52.4,9.1,WW,275,4,220,,269,284,210,227
9196,51.65,8.7333,WW,275,12,207,,259,294,198,216
9198,51.7333,8.6833,WW,283,16,221,,273,299,210,232
9199,51.7667,8.6667,WW,287,6,231,,285,289,231,234
9200,51.7333,8.7167,WW,286,16,219,,262,308,207,240
9202,51.5833,9.25,WW,276,16,220,,269,288,207,235
