climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
140,52.6861,11.4272,WR,267,16,209,16,259.0,281.0,196.0,223.0
591,53.3911,10.6878,WR,269,16,215,16,248.0,284.0,201.0,236.0
662,52.2914,10.4465,WR,272,16,215,16,264.0,283.0,205.0,230.0
717,51.3873,8.5737,WR,268,16,231,16,253.0,281.0,214.0,252.0
880,51.776,14.3168,WR,261,16,199,16,254.0,267.0,179.0,211.0
1048,51.128,13.7543,WR,257,6,208,5,241.0,270.0,202.0,217.0
1133,52.1014,11.2322,WR,263,13,214,14,257.0,273.0,202.0,236.0
1412,50.8969,13.2205,WR,268,16,214,16,246.0,286.0,198.0,228.0
1532,53.6865,11.0608,WR,261,4,227,4,244.0,275.0,211.0,239.0
1544,52.5129,11.3941,WR,260,5,203,5,252.0,268.0,198.0,208.0
1612,50.8813,12.1289,WR,251,9,207,10,242.0,258.0,183.0,217.0
1684,51.1622,14.9506,WR,265,4,213,5,262.0,271.0,205.0,221.0
1757,54.0967,13.4056,WR,266,16,227,15,257.0,290.0,207.0,248.0
1766,52.1344,7.6969,WR,280,9,213,9,275.0,293.0,201.0,222.0
1820,50.85,11.6667,WR,267,14,218,15,257.0,277.0,207.0,230.0
1957,51.5138,11.9499,WR,265,5,206,8,253.0,277.0,187.0,215.0
2163,51.5448,10.8748,WR,265,14,224,14,254.0,278.0,213.0,249.0
2468,50.9352,12.6206,WR,271,10,214,10,261.0,285.0,199.0,224.0
2561,49.7167,8.1167,WR,266,8,207,8,261.0,277.0,203.0,215.0
2625,52.739,12.4984,WR,266,6,206,6,241.0,282.0,198.0,211.0
2667,50.8646,7.1575,WR,270,5,205,9,262.0,291.0,188.0,227.0
2878,51.391,11.8788,WR,279,4,206,4,268.0,297.0,198.0,212.0
2928,51.3151,12.4462,WR,263,3,208,5,261.0,269.0,189.0,230.0
2995,52.8719,13.3927,WR,262,12,200,11,252.0,270.0,183.0,210.0
3015,52.2085,14.118,WR,260,13,204,12,250.0,283.0,189.0,218.0
3023,52.5181,7.3081,WR,277,15,213,16,259.0,292.0,202.0,223.0
3196,53.3223,11.9319,WR,256,7,211,7,247.0,263.0,205.0,218.0
3302,51.0418,11.0062,WR,265,11,208,12,253.0,279.0,198.0,219.0
3314,52.1458,11.9563,WR,260,15,207,16,246.0,276.0,196.0,221.0
3347,51.7384,9.7899,WR,268,8,225,8,261.0,275.0,212.0,231.0
3478,53.5468,13.1914,WR,267,4,216,4,250.0,276.0,214.0,219.0
3487,51.607,11.1183,WR,267,8,228,8,257.0,281.0,218.0,235.0
3552,52.9037,12.8072,WR,269,10,219,10,255.0,279.0,202.0,233.0
3637,51.5158,10.7739,WR,268,6,224,3,258.0,286.0,214.0,233.0
3750,48.0579,9.9479,WR,267,8,213,8,260.0,286.0,197.0,229.0
3811,51.296,13.0928,WR,262,7,205,8,258.0,269.0,194.0,221.0
3815,52.2553,8.0534,WR,273,3,205,3,259.0,283.0,201.0,209.0
4177,48.9726,8.3301,WR,272,4,197,6,265.0,287.0,193.0,202.0
4271,54.1803,12.0808,WR,262,5,224,8,248.0,275.0,214.0,238.0
4372,50.8063,10.2294,WR,271,11,212,11,261.0,283.0,205.0,221.0
4466,54.5275,9.5487,WR,266,15,218,16,249.0,289.0,205.0,230.0
4625,53.6425,11.3872,WR,269,5,222,7,265.0,274.0,210.0,230.0
4642,52.8911,11.7297,WR,262,12,208,15,246.0,276.0,198.0,222.0
4887,48.6657,9.8646,WR,264,16,224,16,254.0,281.0,204.0,244.0
4933,48.7091,9.2147,WR,275,16,209,16,267.0,285.0,200.0,222.0
5082,51.527,14.5578,WR,278,16,208,16,260.0,294.0,200.0,218.0
5100,49.7479,6.6582,WR,265,12,199,13,254.0,274.0,186.0,229.0
5142,53.7444,14.0697,WR,272,10,218,10,247.0,278.0,213.0,222.0
5397,49.6663,12.1845,WR,270,4,211,4,257.0,281.0,200.0,222.0
5404,48.4025,11.6946,WR,272,11,213,11,267.0,281.0,199.0,222.0
5546,52.1207,12.4585,WR,266,16,204,15,253.0,287.0,190.0,232.0
5750,51.0314,12.1495,WR,266,8,210,8,252.0,287.0,198.0,221.0
7566,54.75,9.5167,WR,262,11,217,11,252.0,270.0,206.0,228.0
7592,53.4833,10.6333,WR,265,12,206,11,256.0,271.0,195.0,217.0
7601,53.6167,10.7,WR,272,14,211,13,252.0,289.0,199.0,228.0
7605,53.75,10.6167,WR,274,3,222,3,272.0,277.0,212.0,232.0
7608,53.5,10.4833,WR,266,5,219,6,258.0,278.0,204.0,230.0
7616,54.6167,8.9667,WR,268,13,224,13,262.0,277.0,212.0,240.0
7623,54.6667,9.1333,WR,265,16,223,16,242.0,275.0,201.0,237.0
7635,54.25,9.1833,WR,276,5,213,7,266.0,283.0,189.0,227.0
7642,54.2333,11.0833,WR,267,13,215,15,263.0,273.0,203.0,232.0
7646,54.25,10.8333,WR,262,9,213,10,250.0,277.0,199.0,228.0
7650,54.1,10.8167,WR,267,16,216,16,253.0,284.0,206.0,225.0
7655,54.1833,10.75,WR,265,4,212,3,250.0,279.0,205.0,227.0
7662,53.7333,9.7833,WR,269,5,225,5,261.0,279.0,213.0,235.0
7700,54.1667,10.05,WR,270,7,222,9,253.0,293.0,208.0,236.0
7704,54.3167,9.6667,WR,256,3,219,3,255.0,258.0,214.0,227.0
7711,54.0833,9.65,WR,273,3,221,4,270.0,275.0,206.0,234.0
7716,54.3,9.6667,WR,263,5,219,5,241.0,283.0,211.0,228.0
7721,54.1167,9.4333,WR,282,5,224,8,269.0,303.0,215.0,236.0
7730,54.6167,9.8333,WR,262,16,223,16,253.0,278.0,209.0,234.0
7736,54.55,9.4,WR,268,10,229,10,248.0,295.0,214.0,240.0
7737,54.4167,9.5167,WR,271,15,219,16,257.0,290.0,207.0,236.0
7748,54.0667,10.2167,WR,269,14,221,14,262.0,284.0,205.0,235.0
7754,53.7833,10.0,WR,266,3,225,3,257.0,283.0,216.0,234.0
7756,53.8667,9.8833,WR,265,4,217,5,254.0,282.0,207.0,229.0
7761,54.0167,10.1667,WR,266,10,216,10,248.0,284.0,200.0,242.0
7770,53.9333,10.2,WR,273,16,220,16,263.0,288.0,204.0,241.0
7772,53.9,9.7833,WR,273,15,215,15,253.0,291.0,201.0,231.0
7775,53.95,9.7167,WR,267,10,219,14,238.0,284.0,206.0,231.0
7786,53.7333,10.2667,WR,258,16,221,16,253.0,271.0,213.0,234.0
7798,53.8667,10.3333,WR,265,16,219,16,255.0,281.0,204.0,234.0
7799,53.6167,10.4167,WR,265,16,216,16,255.0,276.0,206.0,229.0
7807,54.15,9.0667,WR,272,7,221,7,260.0,280.0,209.0,233.0
7812,53.9833,9.1167,WR,275,16,217,16,266.0,287.0,206.0,233.0
7824,54.7333,8.4333,WR,254,11,221,11,235.0,288.0,201.0,253.0
7849,52.7,8.5,WR,272,4,214,5,261.0,280.0,209.0,220.0
7855,52.7667,8.75,WR,271,9,213,9,263.0,294.0,197.0,230.0
7857,52.6,8.8333,WR,267,16,206,16,262.0,271.0,197.0,216.0
7859,52.6,8.4833,WR,283,15,212,14,270.0,299.0,198.0,235.0
7862,52.8,8.8333,WR,285,7,219,7,264.0,300.0,211.0,226.0
7865,52.5667,8.5667,WR,281,16,211,16,263.0,290.0,202.0,220.0
7868,52.7833,9.1333,WR,267,11,211,11,258.0,273.0,199.0,227.0
7872,52.9,8.5833,WR,273,10,216,10,263.0,279.0,208.0,227.0
7877,52.8667,8.5,WR,280,4,221,4,267.0,292.0,214.0,234.0
7881,52.85,9.1833,WR,270,12,213,15,248.0,288.0,200.0,228.0
7883,52.1667,9.25,WR,259,6,213,7,251.0,268.0,203.0,228.0
7890,52.2,9.2,WR,266,13,214,13,253.0,277.0,197.0,237.0
7897,52.0667,9.2667,WR,272,14,210,14,259.0,287.0,197.0,222.0
7906,52.3,9.7333,WR,262,15,198,15,253.0,274.0,189.0,211.0
7910,52.3,9.5,WR,275,3,209,4,273.0,278.0,196.0,219.0
7914,52.4,9.6333,WR,270,5,217,6,267.0,277.0,209.0,227.0
7920,52.5333,9.4667,WR,266,7,214,6,253.0,277.0,211.0,219.0
7922,52.3833,9.35,WR,280,9,218,10,273.0,288.0,207.0,231.0
7923,52.4,9.45,WR,266,11,208,11,256.0,273.0,180.0,241.0
7931,52.5667,9.3,WR,280,16,210,16,259.0,301.0,200.0,230.0
7936,52.5667,9.1333,WR,270,16,205,16,262.0,279.0,197.0,215.0
7943,52.5,8.9833,WR,276,15,212,15,263.0,300.0,199.0,232.0
7946,52.7167,9.25,WR,270,16,212,16,263.0,285.0,196.0,228.0
7951,52.4,9.1167,WR,283,10,219,10,278.0,298.0,207.0,231.0
7956,52.45,9.4,WR,276,9,211,11,270.0,284.0,197.0,218.0
7957,52.2333,9.1167,WR,274,6,212,8,265.0,283.0,199.0,232.0
7963,52.2167,9.4,WR,260,5,215,6,252.0,264.0,210.0,224.0
7971,52.2667,9.7667,WR,278,3,218,4,275.0,282.0,208.0,227.0
7977,51.5167,9.95,WR,257,10,209,11,241.0,267.0,199.0,217.0
7994,51.5,10.1833,WR,268,13,210,13,258.0,277.0,201.0,224.0
7998,51.8,9.7,WR,264,16,214,16,257.0,269.0,197.0,226.0
8007,51.55,10.0667,WR,277,15,217,16,239.0,297.0,207.0,229.0
8023,51.7,9.4333,WR,275,7,219,7,268.0,288.0,207.0,228.0
8025,51.9333,9.65,WR,267,11,224,11,253.0,290.0,201.0,242.0
8027,51.95,9.7333,WR,277,11,217,11,259.0,288.0,199.0,231.0
8028,51.85,9.6333,WR,267,14,221,16,260.0,279.0,212.0,234.0
8034,51.35,9.6167,WR,277,3,227,3,277.0,278.0,222.0,238.0
