climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
140,52.6861,11.4272,WRa,235,16,204,16,229.0,242.0,197.0,231.0
164,53.0316,13.9907,WRa,235,3,206,3,234.0,236.0,203.0,208.0
183,54.6792,13.4343,WRa,232,16,212,16,226.0,241.0,201.0,227.0
198,51.3745,11.292,WRa,240,9,206,15,233.0,250.0,184.0,223.0
591,53.3911,10.6878,WRa,235,16,205,16,228.0,246.0,197.0,217.0
596,54.0028,11.1908,WRa,240,13,206,13,230.0,254.0,196.0,217.0
640,50.8685,12.7237,WRa,236,14,214,14,227.0,248.0,199.0,234.0
662,52.2914,10.4465,WRa,238,16,203,11,229.0,249.0,196.0,214.0
717,51.3873,8.5737,WRa,232,16,216,16,226.0,249.0,199.0,231.0
822,51.2066,14.2371,WRa,233,9,203,9,232.0,236.0,193.0,216.0
853,50.7913,12.872,WRa,232,11,214,11,225.0,239.0,204.0,229.0
880,51.776,14.3168,WRa,227,16,199,16,219.0,243.0,193.0,210.0
882,50.7813,10.786,WRa,231,15,215,15,222.0,238.0,199.0,230.0
891,53.8713,8.7058,WRa,238,8,211,8,227.0,256.0,194.0,232.0
1048,51.128,13.7543,WRa,235,4,204,4,224.0,251.0,201.0,207.0
1133,52.1014,11.2322,WRa,233,16,205,16,223.0,243.0,197.0,213.0
1246,51.8418,8.0607,WRa,241,11,201,11,233.0,252.0,194.0,215.0
1412,50.8969,13.2205,WRa,232,16,211,16,222.0,248.0,195.0,228.0
1532,53.6865,11.0608,WRa,229,16,209,16,223.0,238.0,196.0,232.0
1544,52.5129,11.3941,WRa,238,5,199,5,236.0,241.0,195.0,205.0
1612,50.8813,12.1289,WRa,235,16,199,16,222.0,254.0,186.0,213.0
1684,51.1622,14.9506,WRa,233,6,207,12,226.0,239.0,192.0,224.0
1757,54.0967,13.4056,WRa,234,13,207,16,220.0,250.0,199.0,215.0
1766,52.1344,7.6969,WRa,238,8,202,9,227.0,254.0,188.0,214.0
1780,50.4316,11.9443,WRa,236,16,211,16,224.0,260.0,198.0,230.0
1820,50.85,11.6667,WRa,230,16,206,16,225.0,238.0,195.0,224.0
1957,51.5138,11.9499,WRa,235,11,198,12,224.0,246.0,187.0,208.0
2034,50.9574,11.9757,WRa,242,9,209,11,225.0,266.0,193.0,222.0
2163,51.5448,10.8748,WRa,229,14,209,14,225.0,242.0,198.0,225.0
2468,50.9352,12.6206,WRa,236,15,203,15,228.0,250.0,189.0,211.0
2514,54.6667,9.9333,WRa,238,6,211,7,232.0,247.0,206.0,216.0
2561,49.7167,8.1167,WRa,255,4,196,4,247.0,265.0,185.0,206.0
2625,52.739,12.4984,WRa,237,6,206,6,231.0,241.0,200.0,214.0
2667,50.8646,7.1575,WRa,245,5,198,9,232.0,271.0,169.0,215.0
2878,51.391,11.8788,WRa,233,7,199,7,231.0,238.0,192.0,210.0
2895,49.3442,11.5664,WRa,237,9,213,8,230.0,246.0,197.0,234.0
2928,51.3151,12.4462,WRa,235,7,202,7,229.0,250.0,188.0,217.0
3015,52.2085,14.118,WRa,236,16,198,14,226.0,247.0,182.0,214.0
3023,52.5181,7.3081,WRa,244,12,205,14,237.0,250.0,197.0,220.0
3028,51.7855,8.8388,WRa,232,8,201,9,217.0,245.0,193.0,217.0
3126,52.1029,11.5827,WRa,246,16,201,16,230.0,258.0,193.0,217.0
3196,53.3223,11.9319,WRa,232,8,205,9,228.0,239.0,199.0,221.0
3213,50.911,11.3794,WRa,231,7,210,6,222.0,246.0,196.0,222.0
3287,49.7176,9.0997,WRa,240,6,208,6,230.0,249.0,199.0,216.0
3302,51.0418,11.0062,WRa,228,13,201,12,220.0,246.0,189.0,212.0
3314,52.1458,11.9563,WRa,237,16,196,16,227.0,269.0,184.0,207.0
3347,51.7384,9.7899,WRa,239,8,211,8,228.0,249.0,205.0,217.0
3478,53.5468,13.1914,WRa,230,4,202,4,223.0,236.0,192.0,211.0
3487,51.607,11.1183,WRa,229,8,218,8,227.0,233.0,203.0,240.0
3552,52.9037,12.8072,WRa,236,5,203,5,232.0,244.0,196.0,209.0
3637,51.5158,10.7739,WRa,226,8,207,8,222.0,232.0,192.0,222.0
3660,50.3601,6.8697,WRa,237,9,211,9,229.0,246.0,195.0,221.0
3684,51.2873,11.0183,WRa,227,16,206,16,222.0,233.0,193.0,222.0
3750,48.0579,9.9479,WRa,236,8,210,5,232.0,242.0,206.0,218.0
3761,49.207,9.5175,WRa,242,8,202,8,236.0,257.0,189.0,213.0
